,country,iso_code,totalCases,totalNewCases,new_cases_per_hundred_thousand_pop,estimate,lower,upper,population,propCurrentlyInfMid,propCurrentlyInfLow,propCurrentlyInfHigh
120,Slovakia,SVK,1294,108,1.978151319,0.872761246,0.611261911,0.999928476,5459643,0.000045,0.000025,0.00011
121,Slovenia,SVN,1497,144,6.926633483,0.753838663,0.412665219,0.996202105,2078932,0.00018,0.000087,0.00056
122,Somalia,SOM,2998,128,0.805374921,0.913646993,0.608147896,0.999996798,15893219,0.000018,0.00001,0.000044
123,South Africa,ZAF,205447,73921,124.6377217,0.932433562,0.842467992,0.993484873,59308690,0.0027,0.0016,0.0049
124,South Korea,KOR,13153,466,0.908928079,0.866017316,0.44897863,0.999999741,51269183,0.000021,0.000011,0.000067
125,South Sudan,SSD,1857,135,1.206032413,0.725590454,0.463985118,0.983140471,11193729,0.000033,0.000015,0.000087
126,Spain,ESP,252871,3320,7.100877786,0.847698648,0.301625782,1,46754783,0.00017,0.000089,0.00078
127,Sri Lanka,LKA,1209,45,0.210150257,0.960465863,0.822138092,0.999999996,21413250,0.0000044,0.0000026,0.0000085
128,Sudan,SDN,9757,509,1.160794722,0.258012335,0.168271615,0.378643933,43849269,0.00009,0.000038,0.00023
129,Suriname,SUR,477,223,38.0134803,0.644507329,0.354902682,0.985192221,586634,0.0012,0.00048,0.0036
130,Sweden,SWE,73026,7924,78.4611165,0.794361771,0.628088223,0.94139016,10099270,0.002,0.001,0.0042
131,Switzerland,CHE,32212,758,8.758329946,0.927006946,0.768878721,0.999108388,8654618,0.00019,0.00011,0.00038
132,Syria,SYR,185,116,0.662832258,0.159469031,0.087605748,0.278158107,17500657,0.000083,0.00003,0.00025
133,Tajikistan,TJK,6262,463,4.854449349,0.97159436,0.721469616,1,9537642,0.0001,0.000061,0.00022
134,Tanzania,TZA,484,0,0,0.598774395,0.281794141,0.982234406,59734213,0,0,0
135,Thailand,THA,3018,33,0.047277952,0.81407485,0.482746146,0.999951198,69799978,0.0000012,0.00000059,0.0000033
136,Togo,TGO,590,65,0.785143917,0.869729679,0.558260828,0.999987781,8278737,0.000018,0.0000098,0.000047
137,Tunisia,TUN,1170,31,0.262298011,0.766328329,0.364898124,0.999968768,11818618,0.0000068,0.0000033,0.000024
138,Turkey,TUR,206844,10961,12.9963496,0.900627983,0.766014324,0.994392902,84339067,0.00029,0.00016,0.00057
139,Ukraine,UKR,49602,7542,17.24525898,0.712379081,0.571066274,0.861678887,43733759,0.00048,0.00025,0.001
140,United Arab Emirates,ARE,51915,4708,47.60171479,0.981766432,0.839503041,1,9890400,0.00097,0.0006,0.0019
141,United Kingdom,GBR,316001,5244,7.724714508,0.169982597,0.144230772,0.198214192,67886004,0.00091,0.00049,0.0018
142,United States of America,USA,2938610,428302,129.3953399,0.644917187,0.5301991,1,331002647,0.004,0.0016,0.0081
143,Uruguay,URY,553,36,1.03635087,0.345748868,0.150552448,0.602535684,3473727,0.00006,0.000021,0.00023
144,Uzbekistan,UZB,8894,2734,8.168704605,0.980679124,0.898212217,1,33469199,0.00017,0.0001,0.0003
145,Venezuela,VEN,7110,2281,8.021538094,0.951584508,0.816960589,0.999999807,28435943,0.00017,0.0001,0.00033
146,Yemen,YEM,1289,187,0.626970431,0.122981113,0.050990029,0.256918011,29825968,0.0001,0.000031,0.00041
147,Zambia,ZMB,712,101,0.549392089,0.370164576,0.197638513,0.611338338,18383956,0.00003,0.000011,0.000093
148,Zimbabwe,ZWE,183,167,1.123601024,0.359670356,0.206495555,0.62754901,14862927,0.000062,0.000022,0.00018
